3445930	3446737	12
3456005	3456524	29
3457032	3457778	6
3457853	3457890	6
3458020	3461323	29
3458057	3458548	0
3461459	3462702	29
3462449	3462810	6
3462944	3465667	29
3464189	3464550	6
3465869	3466290	6
3466896	3470477	29
3467609	3467910	6
3468869	3469230	6
3470369	3470790	6
3471471	3475069	29
3471749	3472110	6
3473429	3473790	6
3473992	3474402	0
3474689	3475170	6
3476234	3479809	29
3476429	3476730	6
3477449	3477870	6
3479069	3479550	6
3480567	3480613	7
3480721	3480769	7
3480730	3480740	15
3480777	3484772	16
3480799	3481579	26
3480802	3480806	25
3480965	3481204	25
3481087	3484672	29
3481197	3481875	0
3481226	3481282	13
3481245	3484433	9
3481283	3481284	13
3481285	3481291	13
3481292	3481295	13
3481392	3481435	7
3481424	3481495	25
3481547	3481645	13
3481562	3481565	25
3481618	3482247	1
3481678	3481740	10
3481685	3484651	22
3481719	3481767	7
3481734	3481735	15
3481736	3481737	15
3481738	3481739	15
3481740	3481742	15
3481743	3481745	15
3481746	3481757	15
3481798	3481800	8
3481919	3483544	26
3482209	3482218	8
3482309	3482514	6
3482422	3482468	7
3482568	3482737	10
3482581	3482654	13
3482630	3482702	6
3482637	3483046	12
3482655	3482662	13
3482663	3482665	13
3482666	3482668	13
3482761	3484927	0
3482817	3482818	8
3482881	3482946	6
3483043	3483047	13
3483048	3483049	13
3483143	3483204	6
3483338	3483409	25
3483405	3483468	6
3483653	3484744	26
3483668	3483732	6
3483882	3483887	25
3484061	3484062	25
3484465	3484765	9
3484635	3484641	8
3484698	3484704	25
3484834	3484840	16
3485189	3485337	6
3485446	3485516	6
3485545	3489143	29
3485681	3485742	6
3485924	3485983	6
3486172	3486269	6
3486536	3486597	6
3486797	3486866	6
3487070	3487131	6
3488249	3488417	6
3488538	3488610	6
3488780	3488843	6
3489031	3489096	6
3489293	3489356	6
3489547	3489605	6
3489787	3489859	6
3490058	3490124	6
3490324	3490387	6
3490471	3494066	29
3490580	3490643	6
3490835	3490893	6
3491085	3491130	6
3492089	3492253	6
3492315	3492750	0
3492379	3492449	6
3492622	3492690	6
3492883	3492941	6
3493128	3493186	6
3493366	3493432	6
3493627	3493689	6
3493876	3493944	6
3494139	3494206	6
3494404	3494469	6
3494665	3494727	6
3494920	3494980	6
3495167	3495230	6
3495423	3495492	6
3495497	3499076	29
3495695	3495755	6
3495969	3496031	6
3496231	3496290	6
3496483	3496556	6
3496770	3496827	6
3497016	3497074	6
3497261	3497322	6
3497509	3497569	6
3497761	3497821	6
3498007	3498065	6
3498250	3498313	6
3498509	3498572	6
3498765	3498826	6
3499018	3499077	6
3499270	3499329	6
3499522	3499579	6
3499766	3499827	6
3500023	3500083	6
3500279	3500343	6
3500541	3500604	6
3500602	3504179	29
3500801	3500863	6
3501057	3501119	6
3501314	3501376	6
3501569	3501627	6
3501819	3501889	6
3502099	3502165	6
3502371	3502433	6
3502630	3502689	6
3502883	3502947	6
3503149	3503216	6
3503416	3503494	6
3503714	3503775	6
3503981	3504039	6
3504231	3504292	6
3504489	3504555	6
3504763	3504827	6
3505035	3505089	6
3505285	3505341	6
3505532	3505598	6
3505714	3509309	29
3505801	3505867	6
3506069	3506135	6
3506338	3506402	6
3506603	3506670	6
3506879	3506941	6
3507143	3507204	6
3507398	3507462	6
3507660	3507722	6
3507917	3507979	6
3508176	3508239	6
3508872	3509247	0
3509849	3510027	6
3510140	3510203	6
3510363	3510433	6
3510628	3510695	6
3510831	3514411	29
3510898	3510962	6
3511164	3511232	6
3511440	3511508	6
3511718	3511785	6
3511989	3512050	6
3513449	3513619	6
3513745	3513805	6
3513972	3514038	6
3514241	3514308	6
3514513	3514576	6
3514784	3514853	6
3515061	3515124	6
3515984	3519574	29
3516509	3516694	6
3516817	3516886	6
3517065	3517133	6
3517338	3517400	6
3517604	3517667	6
3517871	3517929	6
3518130	3518190	6
3518388	3518430	6
3519749	3519944	6
3520073	3520140	6
3520317	3520388	6
3520590	3520654	6
3520849	3520911	6
3521103	3521171	6
3521179	3524764	29
3521432	3537641	27
3521483	3523434	9
3521581	3522366	26
3521682	3521725	13
3521683	3521738	12
3521736	3521739	13
3521746	3521747	13
3521778	3536233	11
3521896	3522414	0
3522012	3522032	8
3522069	3522089	8
3522173	3522177	8
3522192	3522196	8
3522218	3522220	8
3522239	3522282	8
3522251	3522295	10
3522269	3522424	6
3522282	3522322	8
3522323	3522439	8
3522447	3522453	8
3522471	3522472	8
3522518	3523439	26
3522545	3522616	6
3522749	3522758	8
3522766	3522801	13
3522790	3522858	6
3522791	3523012	12
3522802	3522804	13
3522805	3522807	13
3522890	3524214	0
3523006	3523008	13
3523010	3523012	12
3523060	3523122	6
3523063	3523124	10
3523264	3523265	25
3523268	3523270	25
3523321	3523386	6
3523442	3523448	14
3523449	3537941	16
3523455	3523460	8
3523508	3523562	10
3523592	3536142	18
3523593	3523659	6
3523607	3523621	9
3523863	3523927	6
3524129	3524191	6
3524411	3524464	26
3524449	3524454	25
3525389	3525537	6
3525649	3525718	6
3525882	3525957	6
3526168	3526235	6
3526238	3529837	29
3526448	3526503	6
3526692	3526750	6
3526788	3526793	8
3526939	3527001	6
3527188	3527261	6
3527477	3527545	6
3527675	3527686	9
3527759	3527821	6
3528016	3528083	6
3528129	3528934	9
3528989	3529130	6
3529249	3529313	6
3529481	3529536	6
3529715	3529785	6
3529991	3530053	6
3530248	3530330	6
3530469	3530715	26
3530564	3530640	6
3530678	3530694	25
3530861	3530925	6
3530872	3531282	0
3531117	3531188	6
3531379	3531506	26
3531389	3531463	6
3531410	3531458	13
3531412	3531414	25
3531420	3534999	29
3531671	3531737	6
3531889	3531948	10
3531890	3531891	8
3531929	3531934	8
3531930	3531987	6
3531965	3532026	10
3532056	3532117	10
3532172	3532242	6
3532258	3532261	8
3532262	3532264	8
3532279	3532284	8
3532441	3532507	6
